,id,title,author,category,nationality,description,design,technology,market,investment,media,pdesign,ptechnology,pmarket,pinvestment,pmedia,photos
0,1,Bodynest交互式居家健身可穿戴设备,胡杰,产品装备,中国,"Under the influence of the epidemic, people spend less time outside, and they spend more time at home, which disrupts our original life. Less outdoor exercise results in less physical function. Many people are starting to exercise at home. At the same time, with the development of the Internet and the popularity of online live broadcasting, more and more people learn fitness through online learning and carry out fitness activities at home.
The rapid increase in the number of people working out has also naturally increased the chances of problems such as dizziness, arrhythmia and muscle damage due to lack of preparation, post-exercise stretching or the choice of an unsuitable intensity.
Through the combination of hardware and software, the program cleverly combines the process of fitness exercise with fitness protection, which ensures the safety of users during exercise to the greatest extent and avoids sports injury while users exercise scientifically. This scheme has designed three different protective tools, such as protective gloves, waist protection and knee protection, which cooperate with each other and are independent of each other.
Because kneepad, waist, and protective gloves are suitable for different sports. They can also detect the movement data of different parts. Therefore, while retaining the protective function of these protective devices, we can realize the correction of fitness knowledge through the analysis of a large amount of movement knowledge, which can avoid the possibility of injury to a large extent.
The shape and structure design of the scheme refer to the structure of castor cocoons. The semi-hollow structure solves the sweltering and binding feeling of traditional gloves and retains strong protective materials in areas with high probability of impact and injury. Through the collocation of a variety of materials, it makes the acquisition of a soft and comfortable feeling and a certain sense of science and technology. At the same time, the use of castor cocoon texture and protective combination, so that its texture has a certain characteristics and curve beauty.
Add the protective equipment we need to the connection with mobile devices by adding connected devices. When the user is doing various movements, the following alerts will be sent in front of the phone when the fitness protector detects excessive pressure and potential danger. The indicator light also turns red. The software also provides physical stress and injury analysis of recent sports. At the same time, the image of virtual human was introduced into the front design. Enhance the affinity of meeting, while allowing users to have a more intuitive experience.
The balance between ""fitness"" and ""safety"" and ""entertainment"" is highly bound. What this plan does is to lower the barrier of fitness and the possibility of injury, and make fitness really popular. In recent years, the caller platform gradually sinks, fitness can also.
Home fitness is just one entry point, and there may be many. In order to weaken the professionalism of fitness sports, reduce the possibility of injury, and enhance its fitness and entertainment functions, only the improvement of entertainment and safety can improve the acceptance of the public. To help users build a healthy body.",75.79166666666667,76.95833333333333,69.20833333333333,67.70833333333333,72.66666666666667,37.31353759765625,61.4265022277832,76.52985382080078,49.890380859375,59.97425842285156,"[{'path': '1/hd/1.jpeg'}, {'path': '1/hd/1.png'}, {'path': '1/hd/画板_1_拷贝.jpg'}, {'path': '1/hd/画板_1.jpg'}, {'path': '1/hd/2.jpeg'}, {'path': '1/hd/2.png'}, {'path': '1/hd/3.png'}]"
1,2,视障群体公交车出行辅助系统,马骋协,交通工具,中国,"Product name: Bus Trip Assistance System for Visually Impaired Groups Designer: Ma Chengxie， shenzhen University This design provides a travel assistance system for visually impaired people, including a personal wearable device and a mobile app, which are interconnected with the smart bus system to solve the problems of visually impaired users in the bus travel scene, improve the travel experience, and enable visually impaired people to travel independently. The hardware part of this design is a wearable navigation glove equipped with a TOF module and three vibration modules. The TOF module is used to sense and identify the surrounding environment information, while the vibration module is used to feedback on different information. Through the differentiation of the three modules, it can remind users to avoid obstacles, guide users to get on and off buses, and transmit steering information. The mobile terminal bus App BeepBeep Bus designed in this paper can help users to book buses in advance, conduct real-time navigation, and remind the driver to pick up when the user arrives at the bus station. In addition, users can also adjust the wearable device through the App, set the reminder mode in advance, and turn on the photosensitive sensor light to attract the attention of passers-by in the condition of insufficient light, so as to avoid collisions and misunderstandings. Before a trip, users can check bus routes and transfer conditions in advance through the BeepBeep Bus App, book all bus trips in advance, and add common trips for quick follow-up booking. On the way to the bus station, the user can avoid obstacles with the help of navigation gloves, accurately turn and safely arrive at the bus station. Users can send one-click reminders to bus drivers through the App when waiting the bus, so that the drivers can understand the needs of visually impaired people. When the bus arrives at the station, the user's navigation gloves can receive signals from the sensors on the target bus, quickly find the correct shift and boarding position, and avoid getting on the wrong bus. During the ride, the navigation system can send out a reminder of getting off in advance to avoid missed stops. This design considering the users’ difficulties in the bus trip and solve them by the design of MVP（minimum viable product）, at the same time, considering the connection between the user and the stakeholders for the design of some interpersonal interaction to meet the more perceptual experience. In addition, the design also has room for further expansion. At present, it considers the situation of bus trip, and the functions of wearable devices are relatively basic. They can be further combined with other complex systems, such as supermarket shopping system, air and railway remote travel system, scenic area navigation system, etc. It will bring more convenience for the visually impaired people to go out in different scenes.",78.06666666666666,79.73333333333333,76.26666666666667,75.33333333333333,75.6,42.225502014160156,51.7328987121582,59.235984802246094,71.06892395019531,64.53790283203125,"[{'path': '2/hd/产品图片-场景图.jpg'}, {'path': '2/hd/产品图片-整体和细节.001.jpeg'}, {'path': '2/hd/产品图片-穿戴效果展示.001.jpeg'}, {'path': '2/hd/产品图片-结构图.jpg'}, {'path': '2/hd/展板-视障群体出行需求研究基于_3D_扫描技术的可穿戴产品设-马骋协2110506009.jpg'}]"
2,5,自闭症儿童体感游戏套件设计,徐雅娟,产品装备,中国,"Children with autism, known as ""children of the stars"", are typically characterized by social interaction difficulties, communication difficulties, narrow interests and stereotyped repetitive behaviors. In addition, most children with autism show hypersensitivity to touch. Or sluggishness and lack of fine hand movements. Somatosensory game is a game that relies on somatosensory technology and is operated through body movements. Somatosensory games have the following three advantages in the training of autistic children's hand movement ability: First, it can stimulate the interest of autistic children in training. The second is to train the coordination between the hand, eye and brain to improve the effect of intervention training. The third is that somatosensory games can create a relatively safe training environment.
This is a somatosensory game training kit designed for hand movement training for children with autism. It consists of gloves and bracelets. The screen of the bracelet shows the status of the device. When the somatosensory kit is enabled, there will be a gradient light effect. The bracelet records the child's heart rate, blood oxygen and other physical data in the game. Somatosensory gloves are a medium for somatosensory game interaction. Children with autism use somatosensory gloves to grasp and rotate in virtual scenes. When wearing them, they have a sense of actual hand load. The gloves have built-in multiple somatosensory feedback shock points to achieve a real virtual tactile experience. , especially in the tactile sensitive parts of the fingertips, there are fingertip tactile feedback components, which brings children a good immersive gaming experience. The gloves can accurately capture the child's hand movements during the game, and judge the training effect according to the stability and accuracy of the movements. In terms of appearance design, a bionic design is adopted to imitate the shape, color and image of rose buds, implying that children are flowers that need to be cared for and ready to bloom. The fingertip tactile feedback component adopts the shape of five cartoon characters with different expressions, which is interesting. In terms of color matching, blue, which is generally preferred by children with autism, is the main color, and bright pink and green are used to increase the layering of the product.
Autistic children interact with the game scene through hand movements and. Because autistic children have the problem of weak comprehension, the NPC character Little Prince in the game is designed. The little prince is based on the French children's literature ""The Little Prince"" The protagonist in the game is the prototype, and the little prince will guide the children to successfully complete the game tasks. Through the connection between the little prince and the rose, establish an emotional connection between the child and the game. In the dialogue and eye contact with the little prince, children's language communication and eye contact skills can be promoted.
Parents can turn on and off the device on the APP, adjust the strength of glove tactile feedback, formulate training plans, and view game records, evaluation reports, physical data and other data.",79.84210526315789,79.36842105263158,80.84210526315789,78.47368421052632,79.15789473684211,47.61532211303711,63.21204376220703,63.51910400390625,28.13754653930664,44.893184661865234,"[{'path': '5/hd/展板-自闭症儿童体感游戏套件设计-2110506011-徐雅娟.jpg'}, {'path': '5/hd/手套游戏界面.jpg'}, {'path': '5/hd/正反11.jpg'}, {'path': '5/hd/渲染彩色背景.jpg'}, {'path': '5/hd/红色场景.jpg'}, {'path': '5/hd/穿戴效果.jpg'}]"
3,6,Viber-震感挂脖音响及音乐交友APP设计,李姝源,运动健康,中国,"Viber includes a Hang-neck Stereo with vibration sensors and a music social app. It aims to enhance users' sound feedback for games and music, and bring immersive audio-visual experience to music and game lovers. Using it with the App can help users find nearby music friends and expand the scope of making friends.
（1）Product Design:
The survey found that with the increase of income level, more and more users are willing to be equipped with better listening equipment. How to meet the diverse listening needs of people in different scenarios? In the game, players often focus on the picture and ignore the sound prompts, resulting in a bad experience. Can there be a device that can enhance the sound prompts to bring a better experience to the user? Taking this as a starting point, this research uses the KANO model to investigate the needs of users for listening products, and prioritizes the needs. It is concluded that the needs of not disturbing others > the need for lightweight > the need to liberate both ears > The need for comfortable wearing > the need for long battery life > the need for other additional functions. Based on this conclusion, the product design is carried out.
Sound cannot be seen, but it can cause water ripples to be seen by the eyes. How to make more parts of the body feel the rhythm of the sound? Taking such modeling semantics, the appearance design of the product is carried out. In addition, partial hollowing out is carried out to achieve the lightweight design goal. The product is connected to the mobile terminal or PC terminal through Bluetooth, and the vibration module will simulate the vibration of different frequencies according to the music rhythm or game sound effect, thereby bringing a more realistic game experience or music experience, and users can adjust the vibration and sound volume by themselves. In addition, the design of the hang-neck stereo frees the user's ears without disturbing others.
The product use process is as follows: adjust the product to a suitable size and wear it on the neck; touch the power on and connect to the PC or mobile device through Bluetooth; the vibration module converts the sound signal into vibrations of different frequencies, which are transmitted to the body through the OSCI vibration actuator ; Achieve the design goal of enhancing the user's music/gaming experience.
（2）APP design:
APP positioning is a sharing and dating platform for music enthusiasts, Viber users and potential users. The design goal is to help users find friends nearby, expand the circle of friends, and help the Viber users to discover more potential of the product. Features include visual music backgrounds, nearby live chats, and the Viber store.",82.5,79.1875,78.25,74.5625,75.8125,52.89609909057617,77.19353485107422,54.0018196105957,55.632049560546875,59.46378707885742,"[{'path': '6/hd/1.jpg'}, {'path': '6/hd/2.jpg'}, {'path': '6/hd/3.jpg'}, {'path': '6/hd/4.jpg'}, {'path': '6/hd/5.jpg'}, {'path': '6/hd/展板-基于KANO模型的音乐可穿戴设备设计-2110506020_李姝源1.jpg'}, {'path': '6/hd/展板-基于KANO模型的音乐可穿戴设备设计-2110506020_李姝源2.jpg'}]"
4,7,萌爪随身艾灸仪——基于当代技术创新的艾灸灸具设计,冯林林,产品装备,中国,"Nowadays, contemporary young people pay more and more attention to health preservation, and many ancient methods that have been passed down for a long time have also been rediscovered.
This has also made moxibustion a hot topic in recent years, but the products on the market are mixed, and only open fire moxibustion is certified professional and effective, and improper moxibustion can also cause adverse effects. Therefore, the design of Mengzuo portable moxibustion instrument adheres to open fire moxibustion, and integrates modern technology to create a portable, easy-to-use, professionally visualized moxibustion system.
Mengzuo APP can accurately reach the lesion, specify detailed physiotherapy plans for users, provide professional private Chinese medicine-style experience, and visualize the treatment course to help users use the product better.",81.29411764705883,79.29411764705883,79.47058823529412,80.58823529411765,78.17647058823529,43.34669494628906,48.94391632080078,50.09061050415039,56.578433990478516,69.55976104736328,"[{'path': '7/hd/产品展示图.jpg'}, {'path': '7/hd/使用场景图.jpg'}, {'path': '7/hd/展板-基于当代技术创新的艾灸灸具设计-冯林林_2110506021_.jpg'}, {'path': '7/hd/爆炸图.jpg'}]"
5,8,360°旋转双屏智能科普学习手表,朱格,产品装备,中国,"Under the background of the rapid development of science and technology, the domestic original popular science learning products for school-age children can not meet the current market situation. To solve this problem, a double screen intelligent popular science learning watch for school-age children with the theme of Shenzhen Qingqing world is designed. The watch is distributed to consumers by the staff of the park, and can be quickly worn on the wrist by referring to the wearing method of pop ring, so as to start interesting popular science learning and exploration activities.
The watch is mainly composed of upper and lower paper film double screens, snap ring anti-skid strap, camera, night light strap and light strap switch button. The upper screen can be turned back and forth 180 ° and the lower screen can be rotated 360 ° in the plane. The freely movable screen allows school-age children to experience the same fun as playing with toys when using the product.
From the perspective of helping school-age children learn popular science knowledge, the product adds the game integral mechanism to stimulate their learning potential, so that they can better understand nature and the world in the process of playing games.",80.375,78.3125,80.125,77.0625,78.8125,67.20148468017578,64.03931427001953,51.959354400634766,62.54207992553711,67.26591491699219,"[{'path': '8/hd/1.jpg'}, {'path': '8/hd/2.jpg'}, {'path': '8/hd/3.jpg'}, {'path': '8/hd/4.jpg'}, {'path': '8/hd/5.png'}, {'path': '8/hd/展板--基于3D可穿戴设备的学龄儿童科普学习产品设计-2110506023_朱格.jpg'}]"
6,12,交心流老人情感关怀智能穿戴产品,符敏婷,产品装备,中国,"1. Product name: Cross-flow Emotional Care Smart Wearable Product for the Elderly (Smart Wearable Product Design for the Elderly Based on Semiotic Perspective)
2. Personal Information: Fu Minting, Shenzhen University, Graduate Student of Product Design
3. Design Notes：
The digital divide among older people was magnified during the epidemic, with digital integration and the inability of older people to adapt to it leading to a greater sense of internal isolation than ever before. A review of data to understand the types of loneliness and the causes and effects of it revealed that there are few products designed to address this issue. An analysis of the silver-haired consumer sector reveals that the demand for products to alleviate loneliness among the elderly has led to a ""loneliness economy"". Secondly, the analysis of competing smart wearable products reveals that existing smart products lack emotional care and fail to meet the emotional needs of the elderly. Further, using the hierarchical analysis method, it was found that the key factor triggering loneliness among the elderly is family communication, and that family communication is the primary condition for meeting emotional needs. To sum up the above research, it was concluded that the core users of the design are young elderly people aged 60-65, to meet the needs of the elderly to get care from their children, socialise with friends, leisure and entertainment, as well as to meet the needs of children to care for their parents, and to refine the functions of the product.
This product is established in a system where smart wearable products are linked to a small program, through which children achieve the function of communicating care with the elderly who use the device. It explores how 3d printing can meet the individual needs of the hardware product, as well as the ergonomics of the product shape to meet the psychological needs of the elderly. In meeting the basic functions, combined with theories of semiotics and nostalgia therapy, we look for symbolic applications from the elderly's life experience in product modelling, interaction behaviour and style. The final leap between objective sketching of unconscious design, finding connections and product symbols is completed by the lens shape of the camera, the focusing action and the traditional patterns of the new Chinese style.
The details of the smart devices and interactive interfaces in the product system are described below. The first part is the details of the intelligent interactive devices. The product uses multi-sensory interaction such as light and sound to allow the elderly to obtain multiple feedback; the colour scheme of the product uses low brightness colours; the product material is made of skin-friendly materials such as liquid silicone lanyards to protect the skin of the elderly. Secondly, the product's metaphorical volume adjustment, the reasonable hand size and the consideration of the product's structure.The second part is the details of the interface design. Firstly, the product interaction interface is based on the user use process to develop the page design, with an overall gradient style and warm colours. Secondly, the functions of the children's side are composed of communication, sharing and my. The communication module allows for multi-mode communication, with brightly coloured icons to suggest guidance. The sharing module consists of community and family circle. It can be accessed by swiping up and down. The My module's auxiliary functions have an intimate care function. Finally, the seniors' interface highlights simplified content, enlarged text icons and strong colour contrast. In the communication section, voice communication and video are used to simplify communication and learning costs. A wealth of personal entertainment options and sharing alleviate the loneliness of children who are too busy to be with them, and information is accessed by swiping left and right. The My section enables emergency assistance functions and reminders.",77.66666666666667,76.53333333333333,79.53333333333333,76.6,75.66666666666667,41.70758056640625,41.92166519165039,47.081451416015625,63.92741394042969,41.67125701904297,"[{'path': '12/hd/CMF图.jpg'}, {'path': '12/hd/三视图.png'}, {'path': '12/hd/主效果图.jpg'}, {'path': '12/hd/产品展板-基于符号学视域下的老人智能穿戴产品设计-2110506033-符敏婷.pdf.jpg'}, {'path': '12/hd/场景图.jpg'}, {'path': '12/hd/爆炸图.png'}]"
7,13,Blood Pressure,高梦琦,信息处理,中国,"This is a wearable ambulatory blood pressure measuring instrument for WCH (White Coat Hypertension Patients), Blood Pressure products are designed to integrate fashion into ordinary medical products, so that the traditional ambulatory blood pressure instrument is free from boring and more comfortable to fit the human body. The product allows users to get rid of such a highly tense scene as the hospital, measure blood pressure throughout the day at home, obtain accurate blood pressure data in a comfortable and comfortable state, give users a more comprehensive list of data, connect the product with the mobile APP, express the blood pressure data through the mobile phone, the APP side will give the corresponding data analysis and condition analysis, make suggestions for blood pressure fluctuations, and provide a simple network treatment function, play a medical equipment ""early detection, early prevention"" effect, giving users a better sense of experience.",78.5,79.6875,76.4375,74.375,73.6875,38.27775573730469,79.24688720703125,79.01380157470703,61.58023452758789,67.90380859375,"[{'path': '13/hd/1.png'}, {'path': '13/hd/2.png'}, {'path': '13/hd/3.png'}, {'path': '13/hd/4.png'}, {'path': '13/hd/产品展板.jpg'}, {'path': '13/hd/使用场景图.jpg'}]"
8,14,山水熊猫,王朝霞,文化创意,中国,"In recent years, Guochao has become a symbolic symbol of fashion culture. The emergence of Guochao tuyere is not only the return of Chinese traditional culture, but also the embodiment of the enhancement of Chinese cultural self-confidence. This design scheme is based on the national fashion casual shoes with 3D printing, and takes comfort, youth and diversity as the design core, hoping to hit the hearts of more consumers.
1、 3D printed midsole for comfort
As most national fashion shoes on the market pay more attention to the design of appearance style, their comfort and durability are discounted to a certain extent. Aiming at this problem, landscape panda gives full play to the advantages of lean and personalized 3D printing support, and fills the lattice mesh surface and internal support of the midsole according to the stress analysis diagram of the sole, so as to improve the wearing comfort of the overall shoes.
2、 National style three-dimensional design gives full play to Chinese aesthetic style
Shoes tell stories, and what people wear on their feet can often reflect their environment and culture. National tide fever shows people's recognition of national culture and the improvement of cultural self-confidence. The so-called ""national tide"" and ""country"" refer to China, which is the expression of re examining China's local culture, products and brands from the perspective of globalization; ""Tide"" refers to the tide and trend, which should conform to the current design context and dynamics, and has the characteristics of the tide of the times and renewal and iteration. ""Landscape Panda"" integrates traditional pattern elements and current aesthetics, making it one of the carriers of Chinese traditional culture. It shows the ""national tide"" with new design forms, new design implications and new design styles. Select typical Chinese traditional elements with universal representation - ""Chinese landscape"", ""traditional calligraphy"" and ""national treasure panda"", together with the surface national tide small decoration, the combination of tradition and trend, and three-dimensional display of Chinese traditional culture and Chinese aesthetics.
3、 IP design helps to build the image of national fashion shoes
IP itself has natural cultural and emotional attributes, which can quickly, accurately and ruthlessly snipe users' pain points and attract attention to fans. As an indispensable part of the current mainstream culture, IP role can carry the function and significance of products. The combination of naive panda and trendy culture can collide with the image of overseas trendy panda IP, which will make users have a more sense of substitution and make the audience have emotional resonance.
4、 Summary
The application of 3D printing technology provides new ways and methods for footwear design, and expands the dimensions of lean, intelligent and personalized. In the design and production of footwear products, from materials and texture, to structure and function, and then to appearance and form, the introduction of 3D printing technology can bring new presentation methods and create more new possibilities. It is a slight pity that the high cost of 3D printing makes it difficult for shoes, a consumer product, to enter ordinary consumers. Perhaps there is a deviation in the track they choose, or their own attempts and efforts are not sufficient. However, it is hoped that 3D printing technology can give more play to its advantages in the field closer to consumers in the future.",75.5,69.1875,75.625,70.5625,73.8125,42.01533126831055,55.178123474121094,61.80167770385742,49.52817153930664,48.99833679199219,"[{'path': '14/hd/展板-山水熊猫-基于_3D_打印的国潮休闲鞋设计_王朝霞_2110506041-01.jpg'}, {'path': '14/hd/展板-山水熊猫-基于_3D_打印的国潮休闲鞋设计_王朝霞_2110506041-02.jpg'}, {'path': '14/hd/效果图1.jpg'}, {'path': '14/hd/效果图2.jpg'}, {'path': '14/hd/效果图3.jpg'}, {'path': '14/hd/效果图4.jpg'}, {'path': '14/hd/效果图5.jpg'}]"
9,15,基于3d技术的国风多材质配饰设计,吴乐仪,家居生活,中国,"This design is a multi-material jewelry design based on 3D technology. The curriculum for the design exercise asks students to explore 3D technology that can be used for some sort of industrial or creative design. China is a huge trading nation for jade jewelry, which is often set in ancient costumes and hair ornaments throughout the 5,000 years of Chinese culture. Some jewelry also has the ability to ward off evil spirits and change luck, which stems from some Chinese feng shui fortune culture. Currently, jewelry companies in China are fully competitive due to a fragmented market and the presence of many small businesses. Therefore, emerging technologies could be very useful in this market.

This design aims to address three main issues. (1) The problem of reviving the ethnic style of jewelry: this segment of young women (under 35 years old) shows a great desire and spending power to buy jewelry accessories. The current jewelry designs in the market do not meet the aesthetics of young people, making the audience for such goods still too narrow. (2) Reduce the cost of ethnic style jewelry accessories: also produce jewelry with higher consumption levels, mainly using hand carving techniques, ethnic style jewelry. And generally have strict requirements for the material of the original stone, part of the corner but no one asked for. But generally young people do not have such a high level of consumption, so we need to reduce costs and improve the design content through 3D printing technology. (3) The problem of uniqueness: The industrial method of manufacturing accessories may make the accessories lack of personalization, so we need to use different materials. At the same time, we need to personalize our services by matching the different needs of users.

We design and create accessory brands using different high-tech materials and combining them with emerging scientific technologies, aiming to create new Chinese ethnic trendy accessories together with original stone materials. Our brands allow users to choose color and material combinations under specified styles and create different sparkles according to their needs. In addition, users can adapt the new Chinese accessories in multiple materials to suit their needs.",77.26666666666667,67.8,74.6,68.93333333333334,73.93333333333334,27.29494857788086,68.45716857910156,55.82916259765625,66.59004211425781,45.8457145690918,"[{'path': '15/hd/1.jpg'}, {'path': '15/hd/2.jpg'}, {'path': '15/hd/3.jpg'}, {'path': '15/hd/4.jpg'}, {'path': '15/hd/5.jpg'}, {'path': '15/hd/6.jpg'}, {'path': '15/hd/展板-基于_3d_技术的国风多材质配饰设计-吴乐仪_2110506051-01.jpg'}, {'path': '15/hd/展板-基于_3d_技术的国风多材质配饰设计-吴乐仪_2110506051-02.jpg'}]"
